,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
497,0.282846587,3,14,916,16.52772751,0.317462884,12.41653324,7.545834733,0.262882461,4.980109095
195,0.112254683,3,14,2471,16.53726175,0.301910113,12.22334929,6.999579997,0.255951089,4.442020848
82,0.053286168,5,14,4787,16.5551921,0.285501052,12.1734972,6.96290364,0.250720842,4.172037176
838,0.494949341,10,9,2695,16.55615049,0.252542874,12.68825269,5.531306405,0.254632864,3.983495922
247,0.148985026,7,16,1198,16.56023996,0.243324193,12.20960681,7.258135767,0.270620907,4.669631394
579,0.344816076,1,15,376,16.56234025,0.220758356,12.19940504,6.620133277,0.21874371,4.278470681
241,0.145271698,1,17,1195,16.5691098,0.192601537,12.64257064,6.427426432,0.205662748,4.441741327
735,0.43803919,10,11,844,16.57995357,0.288299521,12.54545495,6.633365628,0.264672706,4.824961645
240,0.144698886,5,13,1070,16.58063415,0.268905188,12.19665768,6.631254461,0.256715887,4.023282795
423,0.244205905,5,12,3546,16.61679737,0.331654263,12.43643048,5.767888494,0.244351707,3.851605786
281,0.163700511,1,5,4233,16.62921505,0.224179954,13.60269594,2.251878054,0.197103615,2.798025172
660,0.388243625,6,15,689,16.63090505,0.275123487,12.05117067,6.572826071,0.263064494,3.978506261
313,0.181737766,10,17,2847,16.63654511,0.270260012,12.32880767,7.287001709,0.309108897,5.151011235
360,0.209349028,7,16,2118,16.63914069,0.284664286,12.30480889,7.254474356,0.251966596,4.819560055
926,0.555115163,8,16,282,16.64428743,0.226845568,12.50324573,6.73973086,0.246824559,4.353744959
442,0.254056089,9,17,4543,16.64556574,0.29789437,12.3945009,7.437332813,0.267708767,5.182637413
80,0.052289992,10,14,4921,16.65621915,0.291857743,12.41757664,7.060842439,0.253114272,4.421416417
922,0.549352786,3,7,1564,16.66019506,0.239038008,12.7989042,6.464984668,0.230174632,4.468569033
797,0.4736462,10,5,3953,16.687029,0.181526282,13.55948317,5.635397009,0.160339302,3.90421804
733,0.437446119,1,7,751,16.69105874,0.293318116,12.97943493,4.420093585,0.253098657,3.326776378
911,0.540422873,9,13,285,16.69880562,0.283842271,12.16844896,7.067925532,0.248773468,4.422527037
987,0.586262013,9,5,524,16.70279429,0.256875111,13.46595262,5.422997662,0.203296188,4.193949612
895,0.530793734,4,14,116,16.70421715,0.196129978,12.54340261,6.755354714,0.204779006,4.153314442
458,0.262249148,1,13,785,16.70970368,0.26711574,12.45556957,6.478760452,0.229170315,3.678329974
858,0.504049693,6,8,4051,16.71847965,0.240673417,12.41116938,4.604822344,0.158781683,3.574733786
925,0.554393925,1,10,224,16.74012918,0.269078196,13.39177832,6.842408425,0.313023132,4.142889965
539,0.315267639,1,8,316,16.74894615,0.251755098,13.33369716,5.84470076,0.288122726,3.964218884
806,0.478380083,5,6,4488,16.75366424,0.235348758,13.00336439,6.109352935,0.235009962,4.083106099
120,0.072643413,6,14,4139,16.77291964,0.29674201,12.62468981,7.200040781,0.277517641,4.582944531
976,0.58184312,4,7,4268,16.77849391,0.235015894,13.4601407,5.431231857,0.196531682,3.788865251
425,0.245409004,5,14,818,16.79448875,0.292025731,12.50840213,7.272939725,0.266304737,4.550755142
382,0.219800463,1,15,1171,16.79657039,0.265346009,12.16669447,7.306951435,0.245258325,4.47751006
158,0.096684381,4,15,3343,16.80090314,0.279369809,12.33830984,7.061653006,0.226576069,4.621194842
572,0.338089607,5,11,4666,16.80552926,0.301489363,13.2107027,6.511270788,0.25789613,5.392782493
814,0.482183004,9,10,4357,16.80838167,0.253163112,12.87004514,5.636121006,0.236521011,4.422579969
399,0.228039339,2,12,2471,16.81108971,0.275466229,12.65999829,5.994394778,0.263590072,4.33284191
137,0.085588742,1,8,3332,16.81533458,0.297681651,13.28184949,5.038140097,0.295291381,3.833210662
554,0.32455259,9,11,3947,16.81534038,0.306079248,13.42705472,5.852790582,0.234238993,4.730521796
856,0.503327795,10,12,1316,16.81674509,0.27101951,12.41013672,6.592094626,0.266868594,4.712530806
807,0.478595276,7,7,85,16.81911468,0.228587905,12.81623366,6.176214066,0.258613205,4.129918667
881,0.517787334,9,14,141,16.81934504,0.240634606,11.95424754,7.321372535,0.265873652,4.535680857
630,0.370975366,7,11,1188,16.82057215,0.253230593,12.90535839,4.577910659,0.211962341,3.661274965
437,0.252183742,5,12,3081,16.83250005,0.29708686,13.16361918,5.055227641,0.238814185,3.655485178
122,0.073624855,1,8,2685,16.84490525,0.28417118,13.15353657,5.361929,0.294737878,3.700105619
170,0.098943992,6,17,3955,16.85470969,0.241384762,12.6578482,6.772909382,0.224998748,4.726081878
992,0.589863487,6,7,4170,16.87581357,0.252739657,13.55899111,5.58160994,0.26119456,3.882481364
952,0.568105197,8,12,1464,16.88312622,0.313437839,12.68850659,6.665347927,0.288226291,4.818290526
688,0.406009374,6,13,542,16.91110171,0.286584891,12.8264744,6.728432974,0.283309278,4.759340106
192,0.110778644,4,14,2411,16.92649401,0.277061787,12.69284878,6.445795329,0.23610563,3.952725613
939,0.562454844,6,11,4046,16.92650799,0.326891367,13.55509707,6.009702481,0.249234881,4.622355874
152,0.091925409,5,15,4626,16.93563917,0.294015807,12.54899825,6.700248986,0.232923505,4.19836912
127,0.079381013,4,17,4413,16.9529433,0.20456522,12.45506763,6.472667215,0.207384455,4.230081521
878,0.515934324,1,5,4368,16.95540569,0.235980923,14.16069688,2.328254717,0.204574122,2.957469764
185,0.106535857,2,15,4859,16.963903,0.335711501,12.54324548,7.499961269,0.259800257,5.052588039
810,0.480682072,8,11,1787,16.98148586,0.279771481,13.05224222,4.716594901,0.185472964,3.00416288
860,0.504702878,3,16,1085,17.00347339,0.281418631,12.70409012,6.833827116,0.221405018,4.246858682
176,0.103084118,1,9,2125,17.01061164,0.289902374,13.01490693,5.599268986,0.314375461,3.910579638
608,0.36049407,8,17,630,17.01531488,0.213456311,12.69854653,6.72333298,0.212190749,4.592775016
